"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/781444417/match149.html","./data/fabid_024452c42b94723b401d.html","3","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","21","4"
"http://moss.stanford.edu/results/781444417/match150.html","./data/fabid_024452c42b94723b401d.html","3","./data/harasaki_5a1e11cb302b66fc0b8b.html","20","4"
"http://moss.stanford.edu/results/781444417/match151.html","./data/enjalot_6641917.html","7","./data/wboykinm_8a87b89f3600a7175f27.html","15","5"
"http://moss.stanford.edu/results/781444417/match152.html","./data/eesur_11f85e7981c7b203768e.html","20","./data/emeeks_a726210cbc439b969f02.html","4","6"
"http://moss.stanford.edu/results/781444417/match153.html","./data/eesur_11f85e7981c7b203768e.html","20","./data/emeeks_37c28b6ff0e01f69b4cd.html","5","6"
"http://moss.stanford.edu/results/781444417/match154.html","./data/eesur_11f85e7981c7b203768e.html","20","./data/emeeks_0d69f4a8c717d5548977.html","5","6"
"http://moss.stanford.edu/results/781444417/match155.html","./data/diskmanti_bc208f5266e4ffd5484a.html","21","./data/fabid_8b6a0277075d770f088a.html","4","4"
"http://moss.stanford.edu/results/781444417/match156.html","./data/diskmanti_bc208f5266e4ffd5484a.html","21","./data/fabid_024452c42b94723b401d.html","3","4"
"http://moss.stanford.edu/results/781444417/match157.html","./data/balajikvijayan_1412be68265ae0315cb5.html","6","./data/fabid_8b6a0277075d770f088a.html","4","4"
"http://moss.stanford.edu/results/781444417/match158.html","./data/balajikvijayan_1412be68265ae0315cb5.html","6","./data/fabid_024452c42b94723b401d.html","3","4"
"http://moss.stanford.edu/results/781444417/match159.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","13","./data/fabid_8b6a0277075d770f088a.html","4","4"
"http://moss.stanford.edu/results/781444417/match160.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","13","./data/fabid_024452c42b94723b401d.html","3","4"
"http://moss.stanford.edu/results/781444417/match161.html","./data/WilliamQLiu_803b712a4d6efbf7bdb4.html","3","./data/peripherie_2a2165ef2225a2d322fc.html","5","10"
"http://moss.stanford.edu/results/781444417/match162.html","./data/Rico3734_3a387f8041e1dc31d718.html","21","./data/fabid_8b6a0277075d770f088a.html","4","4"
"http://moss.stanford.edu/results/781444417/match163.html","./data/Rico3734_3a387f8041e1dc31d718.html","21","./data/fabid_024452c42b94723b401d.html","3","4"
"http://moss.stanford.edu/results/781444417/match164.html","./data/ChristosT_d703765494271f534fcc.html","6","./data/peripherie_2a2165ef2225a2d322fc.html","5","10"
"http://moss.stanford.edu/results/781444417/match165.html","./data/mbostock_900050.html","5","./data/tmcw_41137d930284600d3134.html","13","9"
"http://moss.stanford.edu/results/781444417/match166.html","./data/mbostock_899649.html","6","./data/tmcw_41137d930284600d3134.html","13","9"
"http://moss.stanford.edu/results/781444417/match167.html","./data/bewest_1571529.html","5","./data/tmcw_41137d930284600d3134.html","13","9"
"http://moss.stanford.edu/results/781444417/match168.html","./data/bewest_1157415.html","6","./data/tmcw_41137d930284600d3134.html","13","9"
"http://moss.stanford.edu/results/781444417/match169.html","./data/GerHobbelt_3683278.html","2","./data/jdarling_2d4e84460d5f5df9c0ff.html","1","7"
"http://moss.stanford.edu/results/781444417/match170.html","./data/GerHobbelt_3669455.html","2","./data/jdarling_2d4e84460d5f5df9c0ff.html","1","7"
"http://moss.stanford.edu/results/781444417/match171.html","./data/wboykinm_8a87b89f3600a7175f27.html","14","./data/zanarmstrong_6daa5503fc60d4a89a11.html","13","5"
"http://moss.stanford.edu/results/781444417/match172.html","./data/epmoyer_d12ff8e0e07ae985e4e0.html","13","./data/wboykinm_8a87b89f3600a7175f27.html","14","5"
"http://moss.stanford.edu/results/781444417/match173.html","./data/curran_6eccfa89906e65707ffe.html","9","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","11","8"
"http://moss.stanford.edu/results/781444417/match174.html","./data/curran_6eccfa89906e65707ffe.html","9","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","20","8"
"http://moss.stanford.edu/results/781444417/match175.html","./data/curran_6eccfa89906e65707ffe.html","9","./data/harasaki_5a1e11cb302b66fc0b8b.html","18","8"
